"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","1","","I18nSuite","","","","Test i18n.T()","Test T() returns correct translation for RU"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","1","","LanguageSuite","","","","Test Language.T()","Test Language.T() for EN and RU returns expected strings"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","1","","I18nSuite","","","","Test SetCurrentLocale()","Test SetCurrentLocale switches languages correctly"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","LanguageSuite","","","","Test LanguageCode.String()","Test String() for LanguageCode EN and RU"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","1","","FilterRegexSuite","","","","Test regex lib","Test github.com/GRbit/go-pcre lib with simple pattern and string"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","I18nSuite","","","","Test getLanguageCode()","Test getLanguageCode with LC_ALL env"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","EvalLibSuite","","","","Test EvalLib()","Test EvalLib() on a series of strings that contain arithmetic expression"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","HelpersSuite","","","","Test getPwdDirPath()","Check if getPwdDirPath() returns correct root path"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","1","","FilterSuite","","","","Test filter","Test ReplaceMathExpressions() on a series of strings that contain arithmetic expression to filter from sentences (using EvalLib())"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","3","","FilterRegexSuite","","","","Test regex filter","Test ReplaceMathExpressionsRegex() on a series of strings that contain arithmetic expression to filter from sentences (using EvalLib())"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","1","","I18nSuite","","","","Test getLanguageCode()","Test getLanguageCode with LANG env"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","I18nSuite","","","","Test getLanguageCode()","Test getLanguageCode with LC_MESSAGES env"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","HelpersSuite","","","","Check locale dir","Check if locale dir exists"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","1","","EvalLibSuite","","","","Test EvalLib() with tests for filters","Test EvalLib() with tests for filters paired with ReplaceMathExpressions()"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","I18nSuite","","","","Test GetCurrentLanguage()","Test GetCurrentLanguage returns correct language based on LANGUAGE env"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","I18nSuite","","","","Test getLanguageCode()","Test getLanguageCode with LANGUAGE env"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","1","","EvalSuite","","","","Test Eval()","Test Eval() on a series of strings that contain arithmetic expression"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","HelpersSuite","","","","Test getPwdDirPath()","Check if getPwdDirPath() returns error when APPROOTDIR is empty"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","I18nSuite","","","","Test GetSupportedLanguages()","Test GetSupportedLanguages returns at least 2 languages"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","1","","EvalSuite","","","","Test Eval() with tests for filters","Test Eval() with tests for filters paired with ReplaceMathExpressions()"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","I18nSuite","","","","Test Init()","Test Init: loading environment, initializing translations and checking basic translations"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","HelpersSuite","","","","Test getLocalePath()","Check if getLocalePath() returns correct path"
"passed","Mon Sep 01 16:24:40 GMT 2025","Mon Sep 01 16:24:40 GMT 2025","0","","I18nSuite","","","","Test NewLanguageFromString()","Test NewLanguageFromString parses language codes"
